Year,SubRecipientCode,City,State,Mode,Basic Information - Subrecipient Reporter Type,Total Operating Expense,Total Active Revenue Vehicles,Annual Vehicle Revenue Miles,Total Unlinked Passenger Trips
2018,0R02-00362,Bend,OR,All,Rural Reporter,,,317765.0,9092.0
2018,0R02-00363,Oregon City,OR,All,Rural Reporter,"$1,433,764",10.0,470684.0,117558.0
2018,0R02-00374,Burns,OR,All,Rural Reporter,"$516,689",8.0,154823.0,55926.0
2018,0R02-00375,St. Helens,OR,All,Rural Reporter,"$1,825,556",25.0,738420.0,102364.0
2018,0R02-00377,Lebanon,OR,All,Rural Reporter,"$312,893",5.0,44085.0,20272.0
2018,0R02-00389,Sandy,OR,All,Rural Reporter,"$1,342,311",10.0,347042.0,129776.0
2018,0R02-00395,Klamath Falls,OR,All,Rural Reporter,,,181636.0,8855.0
2018,0R02-00396,The Dalles,OR,All,Rural Reporter,"$559,302",8.0,100718.0,26145.0
2018,0R03-00033,Mukilteo,WA,All,Rural Reporter,"$809,550",10.0,290123.0,21292.0
2018,0R03-00280,Ferndale,WA,All,Rural Reporter,,,131040.0,5299.0
2018,0R03-00282,Pomeroy,WA,All,Rural Reporter,"$211,644",3.0,54632.0,9555.0
2018,0R03-00285,Olympia,WA,All,Rural Reporter,"$714,907",,194735.0,40768.0
2018,0R03-00286,Colville,WA,All,Rural Reporter,"$1,232,434",9.0,518826.0,23417.0
2018,0R03-00287,Moses Lake,WA,All,Rural Reporter,"$1,252,475",29.0,467602.0,28066.0
2018,0R03-00289,Port Angeles,WA,All,Rural Reporter,,,79748.0,7083.0
2018,0R03-00291,Spokane,WA,All,Rural Reporter,,,133980.0,4184.0
2018,0R03-00294,Pullman,WA,All,Rural Reporter,"$4,789,151",29.0,458267.0,1385831.0
2018,0R03-00297,Yakima,WA,All,Rural Reporter,"$1,572,791",22.0,397410.0,56346.0
2018,0R03-00298,Coupeville,WA,All,Rural Reporter,"$11,450,814",172.0,2589543.0,798022.0
2018,0R03-00299,Goldendale,WA,All,Rural Reporter,"$924,629",16.0,419631.0,17023.0
2018,0R03-00303,Port Angeles,WA,All,Rural Reporter,"$9,541,632",86.0,2029064.0,845438.0
2018,0R03-00309,Moses Lake,WA,All,Rural Reporter,"$6,304,632",61.0,1727660.0,318069.0
2018,0R03-00312,Ellensburg,WA,All,Rural Reporter,"$1,330,036",22.0,273125.0,104438.0
2018,0R03-00314,Hoquiam,WA,All,Rural Reporter,"$9,151,504",77.0,1739778.0,925802.0
2018,0R03-00315,Shelton,WA,All,Rural Reporter,"$7,202,446",61.0,1177391.0,459666.0
2018,0R03-00316,Port Townsend,WA,All,Rural Reporter,"$4,594,209",37.0,698312.0,271044.0
2018,0R03-00317,North Bend,WA,All,Rural Reporter,"$1,245,059",17.0,197317.0,22518.0
2018,0R03-00322,Raymond,WA,All,Rural Reporter,"$1,443,871",18.0,424284.0,113650.0
2018,0R03-00332,Omak,WA,All,Rural Reporter,"$1,078,332",11.0,320468.0,46548.0
2018,0R03-00336,Stevenson,WA,All,Rural Reporter,"$422,938",11.0,251991.0,21678.0
2018,0R03-00364,Centralia,WA,All,Rural Reporter,"$2,784,165",13.0,325621.0,226948.0
2018,0R03-00366,Morton,WA,All,Rural Reporter,"$394,054",8.0,121547.0,7583.0
2018,0R03-00368,Longview,WA,All,Rural Reporter,"$403,027",5.0,158140.0,22952.0
2018,0R03-00371,Cathlamet,WA,All,Rural Reporter,"$504,996",8.0,191984.0,12697.0
2018,0R03-00383,Dayton,WA,All,Rural Reporter,"$1,321,497",21.0,295791.0,54684.0
2018,0R03-00386,Portland,OR,All,Rural Reporter,"$584,992",7.0,161350.0,13340.0
2018,0R03-00397,Ferndale,WA,All,Rural Reporter,,,119130.0,5964.0
2018,0R03-00398,Aberdeen,WA,All,Rural Reporter,"$258,947",4.0,99334.0,4997.0
2018,0R03-00405,Omak,WA,All,Rural Reporter,"$1,507,585",18.0,442646.0,57556.0
2018,0R03-00406,Wenatchee,WA,All,Rural Reporter,"$227,065",5.0,68580.0,7914.0
2018,0R03-60208,Dallas,TX,All,Rural Reporter,,,94661.0,7125.0
2018,0R04-00327,Wasilla,AK,All,Rural Reporter,"$1,459,041",17.0,467582.0,62037.0
2018,0R04-00340,Kodiak,AK,All,Rural Reporter,"$389,493",2.0,38860.0,21083.0
2018,0R04-00345,Girdwood,AK,All,Rural Reporter,"$363,166",4.0,110461.0,88987.0
2018,0R04-00354,Juneau,AK,All,Rural Reporter,"$135,933",4.0,31972.0,8772.0
2018,0R04-00358,Ketchikan,AK,All,Rural Reporter,"$2,151,980",14.0,363431.0,404717.0
2018,0R04-00378,Soldotna,AK,All,Rural Reporter,"$894,610",31.0,231346.0,35389.0
2018,0R04-00379,Tok,AK,All,Rural Reporter,,,179510.0,1903.0
2018,0R04-00382,Klawock,AK,All,Rural Reporter,"$4,000,040",2.0,27588.0,42237.0
2018,0R04-00387,Bethel,AK,All,Rural Reporter,"$376,693",4.0,49719.0,25058.0
2018,0R04-00391,Juneau,AK,All,Rural Reporter,"$6,514,633",35.0,871092.0,1068131.0
2018,0R04-00399,Talkeetna,AK,All,Rural Reporter,"$570,535",15.0,222091.0,16188.0
2018,1R01-10131,Torrington,CT,All,Rural Reporter,"$1,106,788",21.0,350775.0,69278.0
2018,1R01-10149,Willimantic,CT,All,Rural Reporter,"$1,871,674",21.0,484151.0,178580.0
2018,1R01-10156,Dayville,CT,All,Rural Reporter,"$629,121",10.0,198121.0,43414.0
2018,1R02-10145,Edgartown,MA,All,Rural Reporter,"$5,276,228",49.0,1173303.0,1360497.0
2018,1R02-10157,Springfield,MA,All,Rural Reporter,,,92300.0,3853.0
2018,1R02-10162,Nantucket,MA,All,Rural Reporter,"$2,040,810",23.0,219763.0,283330.0
2018,1R02-10173,Greenfield,MA,All,Rural Reporter,"$2,960,251",38.0,588549.0,149242.0
2018,1R02-10176,Plymouth,MA,All,Rural Reporter,,,78950.0,15288.0
2018,1R02-60208,Dallas,TX,All,Rural Reporter,,,110980.0,10456.0
2018,1R03-10134,Bangor,ME,All,Rural Reporter,"$14,732,477",72.0,6927612.0,566564.0
2018,1R03-10142,Presque Isle,ME,All,Rural Reporter,"$1,572,028",22.0,335801.0,100703.0
2018,1R03-10147,OLD TOWN,ME,All,Rural Reporter,,,153033.0,11847.0
2018,1R03-10152,Bath,ME,All,Rural Reporter,"$153,160",3.0,38412.0,13263.0
2018,1R03-10153,Islesford,ME,All,Rural Reporter,"$80,865",3.0,3208.0,3646.0
2018,1R03-10155,Waterville,ME,All,Rural Reporter,"$3,352,425",42.0,1260418.0,296243.0
2018,1R03-10167,Stonington,ME,All,Rural Reporter,"$698,675",2.0,13000.0,23704.0
2018,1R03-10169,Belfast,ME,All,Rural Reporter,"$2,060,316",23.0,1373845.0,152564.0
2018,1R03-10175,Ellsworth,ME,All,Rural Reporter,"$2,696,012",47.0,675901.0,638232.0
2018,1R03-10177,Milbridge,ME,All,Rural Reporter,"$205,422",11.0,135200.0,12197.0
2018,1R03-11153,Milbridge,ME,All,Rural Reporter,,,127755.0,2868.0
2018,1R03-11161,Ellsworth,ME,All,Rural Reporter,"$2,507,589",32.0,1127504.0,116316.0
2018,1R04-10135,Concord,NH,All,Rural Reporter,,,128010.0,15987.0
2018,1R04-10137,Wilder,VT,All,Rural Reporter,"$3,144,574",27.0,493320.0,741824.0
2018,1R04-10159,Keene,NH,All,Rural Reporter,"$501,121",9.0,126162.0,44636.0
2018,1R04-10161,Concord,NH,All,Rural Reporter,"$886,685",12.0,184128.0,79937.0
2018,1R04-10170,Berlin,NH,All,Rural Reporter,"$255,453",6.0,93308.0,7069.0
2018,1R04-10172,Berlin,NH,All,Rural Reporter,"$500,353",12.0,224203.0,47343.0
2018,1R04-11156,Claremont,NH,All,Rural Reporter,"$389,680",6.0,80407.0,23250.0
2018,1R06-10137,Wilder,VT,All,Rural Reporter,"$1,030,811",,141051.0,135897.0
2018,1R06-10143,Middlebury,VT,All,Rural Reporter,"$5,281,547",57.0,3609269.0,283252.0
2018,1R06-10144,Wilmington,VT,All,Rural Reporter,"$5,448,517",52.0,3576636.0,527380.0
2018,1R06-10148,Lyndonville,VT,All,Rural Reporter,"$4,635,721",32.0,3968271.0,374292.0
2018,1R06-10151,Bennington,VT,All,Rural Reporter,"$2,906,685",29.0,1492083.0,240887.0
2018,1R06-10154,Rutland,VT,All,Rural Reporter,"$6,219,821",57.0,975242.0,745971.0
2018,1R06-10165,Burlington,VT,All,Rural Reporter,"$6,336,058",67.0,2245390.0,503152.0
2018,1R06-10174,South Burlington,VT,All,Rural Reporter,"$183,251",2.0,116230.0,9369.0
2018,1R06-11158,Milton,VT,All,Rural Reporter,,,269120.0,16597.0
2018,1R06-60208,Dallas,TX,All,Rural Reporter,,,42480.0,14268.0
2018,2R01-20924,Hoboken,NJ,All,Rural Reporter,,,154025.0,4352.0
2018,2R01-20928,Belvidere,NJ,All,Rural Reporter,"$1,900,732",26.0,555714.0,201798.0
2018,2R01-20933,Freehold,NJ,All,Rural Reporter,"$2,091,647",44.0,361955.0,75828.0
2018,2R01-20944,Salem,NJ,All,Rural Reporter,"$674,572",18.0,293298.0,18785.0
2018,2R01-20950,Hamburg,NJ,All,Rural Reporter,"$2,127,137",24.0,616923.0,100092.0
2018,2R02-20925,Lowville,NY,All,Rural Reporter,"$1,431,815",14.0,338433.0,60177.0
2018,2R02-20926,Cobleskill,NY,All,Rural Reporter,"$1,102,905",16.0,350531.0,86731.0
2018,2R02-20931,Catskill,NY,All,Rural Reporter,"$607,429",8.0,142406.0,11653.0
2018,2R02-20932,Elizabethtown,NY,All,Rural Reporter,"$741,239",15.0,280153.0,94432.0
2018,2R02-20934,Albion,NY,All,Rural Reporter,"$843,725",7.0,187233.0,40996.0
2018,2R02-20935,Norwich,NY,All,Rural Reporter,"$2,737,244",20.0,545547.0,66121.0
2018,2R02-20937,Monticello,NY,All,Rural Reporter,"$34,372",4.0,7280.0,1828.0
2018,2R02-20938,Rochester,NY,All,Rural Reporter,"$1,007,345",8.0,219636.0,65009.0
2018,2R02-20939,Plattsburgh,NY,All,Rural Reporter,"$1,287,277",17.0,469784.0,101158.0
2018,2R02-20940,Norwich,NY,All,Rural Reporter,"$721,292",4.0,162558.0,23422.0
2018,2R02-20941,Corning,NY,All,Rural Reporter,"$885,828",8.0,153599.0,148543.0
2018,2R02-20942,Oswego,NY,All,Rural Reporter,"$3,256,773",32.0,795532.0,159134.0
2018,2R02-20945,Watkins Glen,NY,All,Rural Reporter,"$601,229",6.0,206505.0,27297.0
2018,2R02-20946,Elmira,NY,All,Rural Reporter,"$1,466,329",4.0,289157.0,78118.0
2018,2R02-20947,Batavia,NY,All,Rural Reporter,"$1,223,008",10.0,197334.0,65296.0
2018,2R02-20951,Belmont,NY,All,Rural Reporter,"$896,459",12.0,421535.0,49301.0
2018,2R02-20952,Fonda,NY,All,Rural Reporter,"$750,574",7.0,172772.0,32866.0
2018,2R02-20953,Hornell,NY,All,Rural Reporter,"$957,874",14.0,316264.0,84388.0
2018,2R02-20954,Goshen,NY,All,Rural Reporter,"$221,742",3.0,35519.0,6158.0
2018,2R02-20957,Lockport,NY,All,Rural Reporter,"$529,266",4.0,186682.0,13104.0
2018,2R02-20958,Cortland,NY,All,Rural Reporter,"$1,782,200",15.0,319157.0,117177.0
2018,2R02-20959,Mayville,NY,All,Rural Reporter,"$3,138,196",30.0,918626.0,245516.0
2018,2R02-20960,Oneonta,NY,All,Rural Reporter,"$1,808,073",15.0,420109.0,673332.0
2018,2R02-20962,Mt. Morris,NY,All,Rural Reporter,"$1,800,804",19.0,393382.0,156304.0
2018,2R02-20964,Johnstown,NY,All,Rural Reporter,"$200,763",1.0,42655.0,5514.0
2018,2R02-20967,Hudsonville,NY,All,Rural Reporter,"$3,280,567",40.0,1005259.0,261939.0
2018,2R02-20968,Troy,NY,All,Rural Reporter,"$141,050",1.0,51153.0,4564.0
2018,2R02-20969,Hurley,NY,All,Rural Reporter,,,2029889.0,328749.0
2018,2R02-20970,Amsterdam,NY,All,Rural Reporter,"$544,998",7.0,104019.0,18012.0
2018,2R02-20971,Mahwah,NY,All,Rural Reporter,,,809721.0,92142.0
2018,2R02-20973,Montgomery,NY,All,Rural Reporter,"$387,475",3.0,75010.0,17001.0
2018,2R02-20974,Plattsburgh,NY,All,Rural Reporter,,,147090.0,12037.0
2018,2R02-20975,Hudsonville,NY,All,Rural Reporter,"$715,767",4.0,183016.0,77981.0
2018,2R02-20977,Hurley,NY,All,Rural Reporter,,,653003.0,144029.0
2018,2R02-20978,Hurley,NY,All,Rural Reporter,,,643251.0,120969.0
2018,2R02-20980,Warsaw,NY,All,Rural Reporter,"$1,369,154",18.0,311715.0,44966.0
2018,2R02-20981,Gloversville,NY,All,Rural Reporter,"$828,117",7.0,141442.0,62254.0
2018,2R02-20983,Lyons,NY,All,Rural Reporter,"$2,661,890",39.0,864553.0,232288.0
2018,2R02-20986,Rome,NY,All,Rural Reporter,,,333201.0,73010.0
2018,2R02-20988,Port Jervis,NY,All,Rural Reporter,"$170,211",3.0,28099.0,9397.0
2018,2R02-20989,Herkimer,NY,All,Rural Reporter,"$54,084",3.0,3666.0,2896.0
2018,2R02-20990,Utica,NY,All,Rural Reporter,"$851,434",15.0,264409.0,55404.0
2018,2R02-20991,Canton,NY,All,Rural Reporter,"$1,018,528",6.0,583192.0,50922.0
2018,2R02-20992,Malone,NY,All,Rural Reporter,"$1,333,208",17.0,664949.0,119385.0
2018,2R02-20998,Cooperstown,NY,All,Rural Reporter,"$1,041,858",20.0,320729.0,61903.0
2018,2R02-20999,Hudson,NY,All,Rural Reporter,"$498,108",4.0,135454.0,34461.0
2018,2R02-21000,Penn Yan,NY,All,Rural Reporter,"$655,235",10.0,168321.0,40275.0
2018,2R02-30979,Fairview,PA,All,Rural Reporter,,,525198.0,59211.0
2018,2R02-30987,Clearfield,PA,All,Rural Reporter,,,78840.0,6092.0
2018,3R03-30117,Oakland,MD,All,Rural Reporter,"$1,648,496",29.0,651875.0,103076.0
2018,3R03-30130,Towson,MD,All,Rural Reporter,"$1,025,221",18.0,336553.0,41991.0
2018,3R03-30155,Ocean City,MD,All,Rural Reporter,"$5,818,887",75.0,839721.0,2432758.0
2018,3R03-30161,Cambridge,MD,All,Rural Reporter,"$1,282,429",32.0,533199.0,108336.0
2018,3R03-30173,Salisbury,MD,All,Rural Reporter,,,226062.0,8060.0
2018,3R03-30186,Denton,MD,All,Rural Reporter,"$1,765,371",25.0,694266.0,97171.0
2018,3R03-30192,Centreville,MD,All,Rural Reporter,"$1,133,109",19.0,281082.0,26199.0
2018,3R03-60208,Dallas,TX,All,Rural Reporter,,,68777.0,4500.0
2018,3R04-30116,Mount Carmel,PA,All,Rural Reporter,"$285,315",5.0,64650.0,32660.0
2018,3R04-30124,Warren,PA,All,Rural Reporter,"$1,484,942",16.0,357756.0,133720.0
2018,3R04-30127,St. Clair,PA,All,Rural Reporter,"$4,271,099",42.0,665063.0,320140.0
2018,3R04-30151,New Castle,PA,All,Rural Reporter,"$5,938,458",60.0,1104873.0,579120.0
2018,3R04-30159,Williamsport,PA,All,Rural Reporter,,,122878.0,12159.0
2018,3R04-30170,Athens,PA,All,Rural Reporter,"$4,905,260",65.0,1887259.0,256662.0
2018,3R04-30171,Export,PA,All,Rural Reporter,,,69834.0,16360.0
2018,3R04-30177,Indiana,PA,All,Rural Reporter,"$3,397,779",28.0,705012.0,435561.0
2018,3R04-30185,Meadville,PA,All,Rural Reporter,"$3,815,165",60.0,894043.0,477577.0
2018,3R04-30194,kittanning,PA,All,Rural Reporter,"$1,435,115",19.0,404709.0,92696.0
2018,3R04-30196,Johnsonburg,PA,All,Rural Reporter,"$8,610,567",105.0,1566981.0,587301.0
2018,3R04-30987,Clearfield,PA,All,Rural Reporter,,,1459868.0,118980.0
2018,3R04-60208,Dallas,TX,All,Rural Reporter,,,809152.0,63682.0
2018,3R05-30119,Clarksburg,WV,All,Rural Reporter,"$2,727,231",26.0,633573.0,272928.0
2018,3R05-30121,Bluefield,WV,All,Rural Reporter,"$1,537,424",33.0,770801.0,232097.0
2018,3R05-30122,Elkins,WV,All,Rural Reporter,"$576,130",17.0,144420.0,29867.0
2018,3R05-30135,Petersburg,WV,All,Rural Reporter,"$1,778,141",31.0,637443.0,97171.0
2018,3R05-30138,Philippi,WV,All,Rural Reporter,"$467,896",16.0,254831.0,30340.0
2018,3R05-30140,Summersville,WV,All,Rural Reporter,"$649,578",16.0,220016.0,37182.0
2018,3R05-30149,Fairmont,WV,All,Rural Reporter,"$2,209,245",32.0,550911.0,208302.0
2018,3R05-30162,Grantsville,WV,All,Rural Reporter,"$682,412",14.0,175613.0,45203.0
2018,3R05-30183,Hamlin,WV,All,Rural Reporter,"$1,535,302",31.0,841748.0,116665.0
2018,3R05-30190,Kingwood,WV,All,Rural Reporter,"$653,219",25.0,202153.0,33714.0
2018,3R05-30992,Sistersville,WV,All,Rural Reporter,"$59,082",1.0,393.0,4231.0
2018,3R05-50188,Parma,OH,All,Rural Reporter,,,282339.0,20602.0
2018,3R06-30069,Danville,VA,All,Rural Reporter,"$2,321,802",28.0,559197.0,342492.0
2018,3R06-30114,Parksley,VA,All,Rural Reporter,"$718,748",11.0,409524.0,86770.0
2018,3R06-30115,Pulaski,VA,All,Rural Reporter,"$730,790",11.0,274467.0,147447.0
2018,3R06-30118,Purcellville,VA,All,Rural Reporter,"$2,932,036",29.0,933848.0,233284.0
2018,3R06-30132,Big Stone Gap,VA,All,Rural Reporter,"$1,715,741",48.0,897659.0,100058.0
2018,3R06-30142,South Hill,VA,All,Rural Reporter,"$135,246",6.0,60428.0,12739.0
2018,3R06-30147,Chincoteague Island,VA,All,Rural Reporter,"$90,603",4.0,11873.0,14728.0
2018,3R06-30154,Stanardsville,VA,All,Rural Reporter,"$920,504",22.0,348660.0,65809.0
2018,3R06-30157,Altavista,VA,All,Rural Reporter,"$98,698",2.0,47993.0,19584.0
2018,3R06-30164,Bluefield,VA,All,Rural Reporter,"$311,045",4.0,129996.0,42374.0
2018,3R06-30165,Farmville,VA,All,Rural Reporter,"$683,410",16.0,219837.0,157818.0
2018,3R06-30172,Urbanna,VA,All,Rural Reporter,"$3,146,427",54.0,1408398.0,139037.0
2018,3R06-30174,Cedar Bluff,VA,All,Rural Reporter,"$1,626,746",46.0,751233.0,150004.0
2018,3R06-30178,Roanoke,VA,All,Rural Reporter,"$1,084,770",32.0,395963.0,72842.0
2018,3R06-30184,Blackstone,VA,All,Rural Reporter,"$383,609",13.0,386613.0,36168.0
2018,3R06-31025,Emporia,VA,All,Rural Reporter,"$146,888",3.0,37909.0,3946.0
2018,3R06-31026,Hanover,MD,All,Rural Reporter,,,136032.0,9434.0
2018,4R01-40907,Oneonta,AL,All,Rural Reporter,"$354,102",10.0,128924.0,30297.0
2018,4R01-40911,Tuskegee,AL,All,Rural Reporter,"$281,336",5.0,78185.0,4815.0
2018,4R01-40926,Brewton,AL,All,Rural Reporter,"$279,628",11.0,62552.0,42118.0
2018,4R01-40960,Gadsden,AL,All,Rural Reporter,"$471,408",10.0,126271.0,15312.0
2018,4R01-40963,Huntsville,AL,All,Rural Reporter,"$313,220",10.0,188956.0,20236.0
2018,4R01-40965,Cullman,AL,All,Rural Reporter,"$1,577,506",35.0,449297.0,89525.0
2018,4R01-40973,Demopolis,AL,All,Rural Reporter,,,96202.0,2201.0
2018,4R01-40982,Carrollton,AL,All,Rural Reporter,"$243,242",5.0,52966.0,18909.0
2018,4R01-40986,Fort Payne,AL,All,Rural Reporter,"$253,816",10.0,144763.0,28136.0
2018,4R01-41000,Chatom,AL,All,Rural Reporter,"$222,802",8.0,111597.0,11992.0
2018,4R01-41009,Guntersville,AL,All,Rural Reporter,"$205,104",5.0,81290.0,24455.0
2018,4R01-41076,Ashville,AL,All,Rural Reporter,"$702,062",14.0,238773.0,55614.0
2018,4R01-41084,Camden,AL,All,Rural Reporter,"$812,900",26.0,250441.0,71128.0
2018,4R01-41089,Eufaula,AL,All,Rural Reporter,"$232,990",5.0,12706.0,6264.0
2018,4R01-41107,Clanton,AL,All,Rural Reporter,"$409,224",10.0,121092.0,17142.0
2018,4R01-41118,Birmingham,AL,All,Rural Reporter,"$94,872",6.0,27244.0,5923.0
2018,4R01-41125,Andalusia,AL,All,Rural Reporter,"$162,348",5.0,59535.0,11454.0
2018,4R01-41129,Troy,AL,All,Rural Reporter,"$567,622",10.0,209529.0,25606.0
2018,4R01-41173,Jasper,AL,All,Rural Reporter,"$158,158",3.0,74923.0,3855.0
2018,4R01-41180,Scottsboro,AL,All,Rural Reporter,"$440,196",7.0,135074.0,34717.0
2018,4R01-41188,Alexander City,AL,All,Rural Reporter,"$194,376",6.0,46663.0,12128.0
2018,4R01-44926,Demopolis,AL,All,Rural Reporter,"$2,198,176",47.0,1052092.0,626649.0
2018,4R01-60208,Dallas,TX,All,Rural Reporter,,,417132.0,14669.0
2018,4R02-40207,Ft. Myers,FL,All,Rural Reporter,"$4,405,381",69.0,2185642.0,450397.0
2018,4R02-40920,Palatka,FL,All,Rural Reporter,"$2,559,135",42.0,808904.0,133615.0
2018,4R02-40923,Bristol,FL,All,Rural Reporter,"$498,591",21.0,316182.0,57048.0
2018,4R02-40937,Palatka,FL,All,Rural Reporter,,,808904.0,133615.0
2018,4R02-40968,Port St. Joe,FL,All,Rural Reporter,"$832,394",18.0,425309.0,49458.0
2018,4R02-40999,Bushnell,FL,All,Rural Reporter,"$1,528,765",56.0,357633.0,86434.0
2018,4R02-41037,Live Oak,FL,All,Rural Reporter,"$1,750,736",30.0,584307.0,95204.0
2018,4R02-41050,Live Oak,FL,All,Rural Reporter,"$1,705,250",31.0,408863.0,59539.0
2018,4R02-41060,Key West,FL,All,Rural Reporter,"$3,649,612",22.0,675232.0,619261.0
2018,4R02-41080,Ocala,FL,All,Rural Reporter,"$2,870,740",41.0,952694.0,181276.0
2018,4R02-41091,Blountstown,FL,All,Rural Reporter,"$556,629",41.0,190535.0,23314.0
2018,4R02-41095,Clermont,FL,All,Rural Reporter,"$212,724",48.0,605629.0,60313.0
2018,4R02-41114,Fernandina Beach,FL,All,Rural Reporter,"$1,081,366",23.0,474632.0,94768.0
2018,4R02-41148,Crawfordville,FL,All,Rural Reporter,"$620,003",9.0,169952.0,15439.0
2018,4R02-41153,Tallahassee,FL,All,Rural Reporter,"$4,470,737",90.0,1690924.0,309247.0
2018,4R02-41170,Macclenny,FL,All,Rural Reporter,"$1,035,856",39.0,369126.0,26796.0
2018,4R02-41184,Bronson,FL,All,Rural Reporter,"$1,021,281",16.0,894173.0,57712.0
2018,4R02-41186,Bonifay,FL,All,Rural Reporter,"$3,222,707",71.0,1238065.0,238612.0
2018,4R02-41194,Sebring,FL,All,Rural Reporter,"$487,512",21.0,145544.0,26217.0
2018,4R02-41198,Marianna,FL,All,Rural Reporter,"$1,679,581",28.0,529210.0,85688.0
2018,4R02-44938,Bartow,FL,All,Rural Reporter,"$2,289,623",31.0,728895.0,117864.0
2018,4R02-60208,Dallas,TX,All,Rural Reporter,,,1451203.0,136845.0
2018,4R03-40903,Oglethrope,GA,All,Rural Reporter,"$177,113",2.0,119531.0,9828.0
2018,4R03-40904,Tiger,GA,All,Rural Reporter,"$193,036",4.0,78853.0,12938.0
2018,4R03-40905,Griffin,GA,All,Rural Reporter,"$1,289,394",16.0,609517.0,148170.0
2018,4R03-40906,Waycross,GA,All,Rural Reporter,"$230,933",5.0,106414.0,14731.0
2018,4R03-40908,Franklin,GA,All,Rural Reporter,"$132,426",2.0,46848.0,4547.0
2018,4R03-40910,Fort Valley,GA,All,Rural Reporter,"$178,775",3.0,68223.0,8030.0
2018,4R03-40912,Cordele,GA,All,Rural Reporter,"$474,156",6.0,215343.0,31473.0
2018,4R03-40924,Warrenton,GA,All,Rural Reporter,"$110,037",2.0,46908.0,8894.0
2018,4R03-40925,Hawkinsville,GA,All,Rural Reporter,"$64,712",1.0,16252.0,4940.0
2018,4R03-40931,Milledgeville,GA,All,Rural Reporter,"$123,066",2.0,57878.0,8317.0
2018,4R03-40936,Irwinton,GA,All,Rural Reporter,"$177,187",3.0,70353.0,6977.0
2018,4R03-40940,Tifton,GA,All,Rural Reporter,"$241,472",2.0,66636.0,15100.0
